957,NULL,"Detroit, MI (DTW) "," 10:15 AM","Cancun, Mexico (CUN)"," 1:47 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,03590B26-590E-4A8F-8AD0-E09B1BF8B6E2
958,NULL,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,8D22AB20-1A17-4856-BC87-BDFB55AB37E4
959,NULL,"Cancun, Mexico (CUN) "," 6:05 AM","Mexico City, Mexico (MEX)"," 7:40 AM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,8D22AB20-1A17-4856-BC87-BDFB55AB37E4
960,NULL,"Atlanta, GA (ATL) "," 4:33 PM","Cancun, Mexico (CUN)"," 7:00 PM",Aircraft: Boeing 757,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,8D22AB20-1A17-4856-BC87-BDFB55AB37E4
961,NULL,"New York-La Guardia, NY (LGA) "," 11:20 AM","Atlanta, GA (ATL)"," 1:53 PM",Aircraft: Airbus A321,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,8D22AB20-1A17-4856-BC87-BDFB55AB37E4
962,NULL,"Detroit, MI (DTW) "," 8:05 AM","New York-La Guardia, NY (LGA)"," 9:54 AM",Aircraft: Airbus A321,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,8D22AB20-1A17-4856-BC87-BDFB55AB37E4
963,NULL,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,F4930278-DB64-4773-BDE4-E60C7B5A4215
964,NULL,"Cancun, Mexico (CUN) "," 6:40 AM","Mexico City, Mexico (MEX)"," 8:15 AM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,F4930278-DB64-4773-BDE4-E60C7B5A4215
965,NULL,"Atlanta, GA (ATL) "," 4:33 PM","Cancun, Mexico (CUN)"," 7:00 PM",Aircraft: Boeing 757,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,F4930278-DB64-4773-BDE4-E60C7B5A4215
966,NULL,"Detroit, MI (DTW) "," 8:05 AM","New York-La Guardia, NY (LGA)"," 9:54 AM",Aircraft: Airbus A321,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,F4930278-DB64-4773-BDE4-E60C7B5A4215
967,NULL,"Detroit, MI (DTW) "," 8:35 AM","Cancun, Mexico (CUN)"," 12:07 PM",Aircraft: Boeing 737-900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,FE790585-2624-4784-A841-1D5D9DBED365
968,NULL,"Atlanta, GA (ATL) "," 4:33 PM","Cancun, Mexico (CUN)"," 7:00 PM",Aircraft: Boeing 757,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,081D916B-2D7A-4697-8CDA-0CCA8909451F
969,NULL,"Detroit, MI (DTW) "," 10:00 AM","New York-JFK, NY (JFK)"," 11:44 AM",Aircraft: Airbus A320,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,081D916B-2D7A-4697-8CDA-0CCA8909451F
970,NULL,"Detroit, MI (DTW) "," 9:25 AM","Atlanta, GA (ATL)"," 11:24 AM",Aircraft: Boeing 737-900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,C2C8E60C-17A2-4601-B4BD-9562E971428E
971,NULL,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,4A092AE2-7A94-4576-967C-7E47E4AE6E04
972,NULL,"Cancun, Mexico (CUN) "," 6:05 AM","Mexico City, Mexico (MEX)"," 7:40 AM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,4A092AE2-7A94-4576-967C-7E47E4AE6E04
973,NULL,"Atlanta, GA (ATL) "," 4:33 PM","Cancun, Mexico (CUN)"," 7:00 PM",Aircraft: Boeing 757,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,4A092AE2-7A94-4576-967C-7E47E4AE6E04
974,NULL,"Cincinnati, OH (CVG) "," 12:55 PM","Atlanta, GA (ATL)"," 2:22 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,4A092AE2-7A94-4576-967C-7E47E4AE6E04
975,NULL,"Detroit, MI (DTW) "," 9:00 AM","Cincinnati, OH (CVG)"," 10:08 AM",Aircraft: Canadair 900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,4A092AE2-7A94-4576-967C-7E47E4AE6E04
